post_ids,0,1,2,3,4,5,6,7,8,9
c113692a-16af-388b-b93b-ec94698d61f0,0.004348358139395714,0.00434859050437808,0.004348016809672117,0.004347978625446558,0.00434785196557641,0.004347927402704954,0.9608673453330994,0.004348071292042732,0.004347954876720905,0.004347946494817734
bd0a0463-16e1-3259-a9f7-9060b548e902,0.012503813952207565,0.01250121183693409,0.012501689605414867,0.012500466778874397,0.012500067241489887,0.012500406242907047,0.887490451335907,0.012501124292612076,0.012500254437327385,0.012500503100454807
e84dadb1-2dda-3ed6-9a54-0f2fd7589122,0.0012987761292606592,0.0012988197850063443,0.001298776245675981,0.001298768213018775,0.001298711635172367,0.001298760762438178,0.0012987962691113353,0.9883110523223877,0.0012987523805350065,0.0012987630907446146
43425508-7983-338d-bb2c-29dda5d12ee7,0.9689648747444153,0.003448330331593752,0.0034485787618905306,0.0034483158960938454,0.0034482814371585846,0.0034483170602470636,0.0034483319614082575,0.003448341740295291,0.003448295872658491,0.0034483049530535936
43425508-7983-338d-bb2c-29dda5d12ee5,0.9689648747444153,0.003448330797255039,0.0034485752694308758,0.0034483163617551327,0.003448281902819872,0.003448317525908351,0.003448332427069545,0.0034483422059565783,0.003448296105489135,0.003448305418714881
e552c463-6504-3451-8d75-b55a66820c32,0.0005236260476522148,0.0005236641154624522,0.0005236809956841171,0.10031425952911377,0.0005235853022895753,0.0005236808792687953,0.8954964876174927,0.0005236423457972705,0.000523641356267035,0.0005236977594904602
c1636927-16c7-394a-84d6-4040fcdeb1a9,0.0005155284306965768,0.0005155656835995615,0.0005155816907063127,0.09550368040800095,0.0005154885002411902,0.0005155839608050883,0.9003719091415405,0.0005155443795956671,0.000515543797519058,0.0005156010156497359
47dd2a50-ca9c-31c0-8652-8f677b58b07b,0.0004762479802593589,0.0004762797034345567,0.00047629099572077394,0.13875402510166168,0.000476214598165825,0.00047630659537389874,0.8574357628822327,0.00047626454033888876,0.0004762622120324522,0.0004763241740874946
43425508-7983-338d-bb2c-29dda5d12ee8,0.9689648747444153,0.0034483305644243956,0.003448580391705036,0.003448316128924489,0.0034482816699892282,0.0034483172930777073,0.003448332194238901,0.0034483419731259346,0.003448295872658491,0.0034483051858842373
62825acf-0fea-3318-92d0-010e773b86a9,0.002000069711357355,0.9819994568824768,0.0020000534132122993,0.0020000594668090343,0.002000007778406143,0.0020000606309622526,0.002000087406486273,0.002000083215534687,0.0020000506192445755,0.00200006365776062
ab8fee1b-0114-39d0-b90b-6607f1ecbebe,0.010000946931540966,0.010000882670283318,0.01000083889812231,0.010000661946833134,0.010000091977417469,0.9099918603897095,0.010000583715736866,0.010003232397139072,0.01000030804425478,0.01000056229531765
c1636927-16c7-394a-84d6-4040fcdbb0a9,0.0005155284306965768,0.0005155656835995615,0.0005155816907063127,0.08532334864139557,0.0005154884420335293,0.0005155839608050883,0.9105522036552429,0.0005155443213880062,0.0005155437393113971,0.0005156010156497359
898e7f6c-b5c9-33e6-876b-6585f129147f,0.005882560275495052,0.005882652010768652,0.9470572471618652,0.005882475059479475,0.00588237727060914,0.0058824908919632435,0.00588257284834981,0.005882671102881432,0.0058824061416089535,0.005882469937205315
62825acf-0fea-5318-92d0-010e773b86a9,0.0020000699441879988,0.9819994568824768,0.002000053646042943,0.002000059699639678,0.002000008011236787,0.0020000608637928963,0.0020000881049782038,0.002000083215534687,0.002000050852075219,0.0020000638905912638
cec5634e-3ab7-3a5c-8b3b-eb819e967687,0.011111177504062653,0.011112104170024395,0.011111296713352203,0.011111336760222912,0.01111114677041769,0.011111288331449032,0.011111604981124401,0.011111573316156864,0.8999970555305481,0.011111419647932053
ffdc07a7-3b2a-319d-93a7-d120de8cd186,0.0004762480384670198,0.00047627967433072627,0.00047629099572077394,0.11055733263492584,0.00047621456906199455,0.00047630665358155966,0.8856325149536133,0.00047626454033888876,0.0004762621538247913,0.0004763243196066469
f4f5e8ce-8bb2-3852-913a-de423b821c1d,0.01000094786286354,0.010000883601605892,0.010000839829444885,0.010000662878155708,0.010000092908740044,0.9099923372268677,0.01000058464705944,0.010002784430980682,0.010000308975577354,0.010000563226640224
d982e1dd-c1de-38f7-802d-3f252fc84633,0.006250886246562004,0.2553524971008301,0.006250537000596523,0.006250470876693726,0.006250074133276939,0.006250332575291395,0.00625081080943346,0.6946438550949097,0.006250191014260054,0.006250347942113876
e552c463-6504-3451-8d75-b55a66820c30,0.0005236263386905193,0.0005236642900854349,0.0005236812867224216,0.06990212202072144,0.0005235854187048972,0.0005236811120994389,0.9259086847305298,0.0005236424040049314,0.0005236415308900177,0.0005236980505287647
43425508-7983-338d-bb2c-29dda5d12ee6,0.9689648747444153,0.0034483305644243956,0.003448586445301771,0.003448316128924489,0.0034482816699892282,0.0034483172930777073,0.003448332194238901,0.0034483419731259346,0.003448295872658491,0.0034483051858842373
